Título,Empresa,Modalidad,Salario,Link,Descripción
Desarrollador Fullstack,Aimo,Hibrido,USD 2500 - 3000,https://talently.tech/oferta/desarrollador-fullstack-1754417419-6892490bd5717,"Increíble puesto disponible para Desarrollador Fullstack. Se requiere conocimientos en Node.js, React Native."
AI Solution Specialist,Caranty,Remoto Global,USD 2000 - 4000,https://talently.tech/oferta/ai-solution-specialist-1754407004-6892205c23fb0,"Tu próximo desafío como AI Engineer te espera. Se requiere conocimientos en Python, GCP (Google Cloud Platform), Azure."
Diseñador UXUI,EnviaYa,Hibrido,USD 1000 - 1600,https://talently.tech/oferta/disenador-uxui-1754406953-689220291d900,Tu próximo desafío como UX/UI Specialist te espera. Se requiere conocimientos en Figma.
UX/UI Product Designer Sr,Kigo Parkimovil,Presencial,USD 1900 - 2400,https://talently.tech/oferta/uxui-product-designer-sr-1754079338-688d206a5503f,"Si eres UX Designer, esta oferta es para ti. Se requiere conocimientos en Diseño Centrado en el Usuario, Prototipado, Figma, Adobe XD, Illustrator, Lean UX, Design Thinking, HTML/CSS."
Backend Developer,rotationuz,Remoto Global,USD 2500 - 4000,https://talently.tech/oferta/backend-developer-1753864366-6889d8ae908b8,"Increíble puesto disponible para Back-End Developer. Se requiere conocimientos en Laravel, PHP."
Arquitecto de Soluciones,Search,Hibrido,USD 3500 - 4300,https://talently.tech/oferta/arquitecto-de-soluciones-1753736767-6887e63f718ad,Increíble puesto disponible para Arquitecto de Soluciones TI. Se requiere conocimientos en Python.
Lider Técnico,Easy-Shop Internacional,Hibrido,USD 1400 - 2600,https://talently.tech/oferta/lider-tecnico-1753309031-68815f677f776,"Tu próximo desafío como Tech Lead te espera. Se requiere conocimientos en JavaScript, Mongo DB, Docker, Node.js."
desarrollador backend java,Klinik,Presencial,USD 300 - 800,https://talently.tech/oferta/desarrollador-backend-java-1753302139-6881447bf1801,"Tu próximo desafío como Back-End Developer te espera. Se requiere conocimientos en Spring Boot, Java, API REST, SQL."
Sr Java Developer,Do Payment,Remoto Global,USD 2500 - 3000,https://talently.tech/oferta/sr-java-developer-1753201864-687fbcc83a4d4,"Si eres Back End Developer, esta oferta es para ti. Se requiere conocimientos en Java, AWS, Spring Boot, MySQL."
Analista de TI Sr.,Prestamype,Hibrido,USD 1000 - 2200,https://talently.tech/oferta/analista-de-ti-sr-1753218767-687ffecfaf7f4,"Si eres Arquitecto de Software, esta oferta es para ti. Se requiere conocimientos en AWS, Scrum."
Backend Developer,Buk,Remoto Global,USD 2800 - 3500,https://talently.tech/oferta/backend-developer-1753201190-687fba261e95f,"Estamos buscando un Back-End Developer. Se requiere conocimientos en Ruby on Rails, Python."
Desarrollador Fullstack Cloud,Efitec,Presencial,USD 1600 - 2000,https://talently.tech/oferta/desarrollador-fullstack-cloud-1753119709-687e7bddebc3b,Tu próximo desafío como Desarrollador Full Stack te espera. Se requiere conocimientos en .NET Framework.
Desarrollador PL/SQL,Efitec,Hibrido,USD 1500 - 1600,https://talently.tech/oferta/desarrollador-plsql-1752761501-6879049db5909,Increíble puesto disponible para Back End Developer. Se requiere conocimientos en PL/SQL.
Full Stack Developer,MK Care,Remoto Global,USD 300 - 800,https://talently.tech/oferta/full-stack-developer-1752108465-686f0db15c163,"Increíble puesto disponible para Back-End Developer. Se requiere conocimientos en Java, Kotlin, Node.js, IOS, AWS RDS, Swift."
Desarrollador de Soluciones,ITA,Hibrido,USD 700 - 1100,https://talently.tech/oferta/desarrollador-de-soluciones-1752468243-68748b139487c,"Tu próximo desafío como Solutions Architect te espera. Se requiere conocimientos en JavaScript, Python, Linux Shell Scripting, SQL."
Fullstack Engineer,Cumplo Chile,Hibrido,USD 300 - 2200,https://talently.tech/oferta/fullstack-engineer-1751993219-686d4b833da9d,"Estamos buscando un Fullstack Developer. Se requiere conocimientos en Node.js, React JS, Python, MySQL, AWS."
Desarrollador/a No-Code & Automatización,Binder,Hibrido,USD 800 - 1200,https://talently.tech/oferta/desarrolladora-no-code-automatizacion-1752081309-686ea39ddf344,"¡Gran oportunidad como Back-End Developer! Se requiere conocimientos en Python, AWS, Make, Node.js."
Content Writer (en inglés) o ✅ Redactora de contenido (en español),Ninguna semejanza,Remoto Global,USD 4500 - 6200,https://talently.tech/oferta/content-writer-en-ingles-o-redactora-de-contenido-en-espanol-1752089576-686ec3e8b0ab7,"Increíble puesto disponible para Redactor. Se requiere conocimientos en Infer, DocuSign."
Desarrollador PHP con experiencia en Control de Calidad (QA/QC),Paqari,Remoto Global,USD 800 - 1200,https://talently.tech/oferta/desarrollador-php-con-experiencia-en-control-de-calidad-qaqc-1751901851-686be69b08b82,"Increíble puesto disponible para Back-End Developer. Se requiere conocimientos en PHP, Codeigniter, Testing Library, phpunit, MySQL, React JS."
Coordinador de Influencer Marketing,BlindCreator,Remoto Global,USD 1800 - 2000,https://talently.tech/oferta/coordinador-de-influencer-marketing-1751547752-68667f68968ac,Tu próximo desafío como Influencer Marketing Manager te espera. Se requiere conocimientos en ActiveCampaign.
QA Automatizador,GrowBy,Remoto local,USD 2000 - 2500,https://talently.tech/oferta/qa-automatizador-1751486039-68658e57d5180,"Estamos buscando un QA Automation. Se requiere conocimientos en Java, JavaScript, Python, Selenium."
Desarrollador Java,HiCody Solutions,Remoto local,USD 1000 - 1800,https://talently.tech/oferta/desarrollador-java-1751055611-685efcfbd1fa5,"Estamos buscando un Fullstack Developer. Se requiere conocimientos en JavaScript, Java."
DevOps,Prestamype,Remoto Global,USD 800 - 2800,https://talently.tech/oferta/devops-1751060512-685f1020cd3e0,"Tu próximo desafío como DevOps te espera. Se requiere conocimientos en AWS, Docker."
QA Analyst,Aimo,Hibrido,USD 3000 - 5000,https://talently.tech/oferta/qa-analyst-1754333798-68910266cfdc2,Estamos buscando un QA Automation. Se requiere conocimientos en Jira.
Product Analyst,Timetracker Producto,Hibrido,USD 1500 - 2500,https://talently.tech/oferta/product-analyst-1752245236-687123f40dd19,¡Gran oportunidad como Analista de Producto! Se requiere conocimientos en Jira.
Data Engineering Analyst,R5,Remoto local,USD 1000 - 1700,https://talently.tech/oferta/data-engineering-analyst-1750795019-685b030badaf8,"Increíble puesto disponible para Data Analyst / BI. Se requiere conocimientos en Pandas, SQL, Python."
Software AI Engineer,webIAr,Remoto Global,USD 2000 - 3500,https://talently.tech/oferta/software-ai-engineer-1750812398-685b46eef356f,"¡Gran oportunidad como AI Engineer! Se requiere conocimientos en Python, fastapi, AWS, Langchain."
Senior Frontend developer,Empresa,Remoto local,USD 4000 - 5000,https://talently.tech/oferta/senior-frontend-developer-1750804036-685b26444c82d,"Increíble puesto disponible para Front-End Developer. Se requiere conocimientos en Vue JS, JavaScript."
Tech Lead – Fintech & Credit Architecture,Empresa,Hibrido,USD 7000 - 8000,https://talently.tech/oferta/tech-lead-fintech-credit-architecture-1750803439-685b23ef6c636,"Estamos buscando un Tech Lead. Se requiere conocimientos en AWS, Python."
Head de Negocios,Epik,Presencial,USD 5000 - 5500,https://talently.tech/oferta/head-de-negocios-1751403956-68644db45789d,"Si eres Project Manager, esta oferta es para ti. Se requiere conocimientos en Microsoft Project, Trello."
Backend Developer,Rotation,Remoto Global,USD 500 - 1500,https://talently.tech/oferta/backend-developer-1750670912-68591e408cb10,"Increíble puesto disponible para Back-End Developer. Se requiere conocimientos en PHP, Laravel, MySQL."
Analista BI,MundoJob,Remoto Global,USD 2000 - 2500,https://talently.tech/oferta/analista-bi-1749665210-6849c5ba55267,Tu próximo desafío como Business analyst te espera. Se requiere conocimientos en Jira.
Sr Backend Developer,Welli,Hibrido,USD 3000 - 3500,https://talently.tech/oferta/sr-backend-developer-1749663430-6849bec6a53fb,"Si eres Back-End Developer, esta oferta es para ti. Se requiere conocimientos en Python, Flask."
PHP Fullstack,remesas.com,Hibrido,USD 1200 - 1800,https://talently.tech/oferta/php-fullstack-1749045283-684050239f38e,"Increíble puesto disponible para Fullstack Developer. Se requiere conocimientos en Laravel, Vue JS, Wordpress, AWS."
Sales Executive,Paymon,Remoto local,USD 1000 - 1200,https://talently.tech/oferta/sales-executive-1748889445-683def652cb2c,Estamos buscando un Sales Development Representative (SDR). Se requiere conocimientos en Cierre de Ventas.
